PER|-33.68,115.46|2016-06-22T00:00:00.000+10:00|Rainy|12.9|1016.2|70
SWZ|-33.88,150.87|2016-09-18T00:00:00.000+10:00|Humid|13.1|1012.5|89
YSLT|-37.7,146.36|2016-04-14T00:00:00.000+10:00|Humid|17.0|1027.4|88
NTL|-32.69,151.53|2016-04-05T00:00:00.000+10:00|Sunny|22.0|1020.4|61
NTL|-32.81,151.43|2016-11-15T00:00:00.000+11:00|Rainy|20.0|1001|68
CNS|-17.8,143.44|2016-06-26T00:00:00.000+10:00|Rainy|24.0|1015.7|88
CNS|-16.88,145.75|2016-06-22T00:00:00.000+10:00|Clear Sky|24.0|1014.6|74
ADL|-34.16,137.74|2016-11-05T00:00:00.000+11:00|Clear Sky|15.1|1020|53
MLB|-37.84,144.96|2016-01-30T00:00:00.000+11:00|Cloudy|20|1001|55
CAZ|-32.42,147.51|2016-03-07T00:00:00.000+11:00|Clear Sky|30.0|1017.9|33
LST|-40.93,145.19|2016-10-04T00:00:00.000+11:00|Rainy|11.9|1001|80
MEL|-37.19,145.71|2016-04-13T00:00:00.000+10:00|Humid|15.9|1028.2|100
NTL|-32.43,151.77|2016-11-15T00:00:00.000+11:00|Rainy|17.5|1015.7|70
ABX|-36.28,146.91|2016-01-18T00:00:00.000+11:00|Clear Sky|24.0|1019.2|53
ADL|-34.27,138.63|2016-09-19T00:00:00.000+10:00|Partial Cloudy|8.6|1014.5|83
TSV|-23.65,146.64|2016-06-26T00:00:00.000+10:00|Clear Sky|22.5|1017.6|71
OOL|-28.81,153.45|2016-06-08T00:00:00.000+10:00|Clear Sky|17.2|1014.8|47
CBR|-35.17,149.13|2016-05-10T00:00:00.000+10:00|Rainy|14.8|1005.6|88
PER|-33.71,115.33|2016-05-30T00:00:00.000+10:00|Humid|10.8|1020.2|99
YBLT|-37.94,144.28|2016-07-24T00:00:00.000+10:00|Rainy|4.0|1010.6|100
CBR|-35.81,149.43|2016-03-20T00:00:00.000+11:00|Clear Sky|14.4|1018.1|62
MRZ|-29.11,147.9|2016-04-14T00:00:00.000+10:00|Clear Sky|22.8|1026.5|47
YKHG|-13.97,136.59|2016-05-08T00:00:00.000+10:00|Clear Sky|30.8|1012|79
YXNE|-32.69,149.71|2016-07-01T00:00:00.000+10:00|Clear Sky|10.1|1001|49
YBLT|-37.28,142.93|2016-01-27T00:00:00.000+11:00|Windy|20.4|1010.5|73
RCM|-38.55,145.56|2016-03-28T00:00:00.000+11:00|Clear Sky|23.0|1018.7|85
WGA|-34.35,147.22|2016-08-07T00:00:00.000+10:00|Humid|8.8|1027|88
YPEA|-29.61,115.34|2016-03-17T00:00:00.000+11:00|Windy|22.5|1015.6|49
SWZ|-33.92,150.9|2016-04-18T00:00:00.000+10:00|Clear Sky|18.6|1022|74
MRZ|-29.32,149.81|2016-10-28T00:00:00.000+11:00|Clear Sky|23.5|1015.4|50
CNS|-17.27,145.47|2016-04-17T00:00:00.000+10:00|Rainy|25.8|1013.9|71
BNE|-27.62,151.77|2016-07-28T00:00:00.000+10:00|Partial Cloudy|15.9|1024.2|47
MLB|-37.67,144.89|2016-07-29T00:00:00.000+10:00|Cloudy|10.9|1021.7|79
MRZ|-29.84,151.04|2016-10-03T00:00:00.000+11:00|Rainy|16.4|1007.3|84
WOL|-34.31,150.93|2016-06-02T00:00:00.000+10:00|Rainy|14.3|1027.2|78
BNE|-24.89,152.37|2016-07-20T00:00:00.000+10:00|Partial Cloudy|20.0|1022.7|78
YBLT|-37.09,143.47|2016-06-10T00:00:00.000+10:00|Rainy|7.9|1017.9|98
BXG|-36.53,144.6|2016-01-13T00:00:00.000+11:00|Windy|32.1|1010.6|37
