ABX|-36.97,146.75|2016-06-29T00:00:00.000+10:00|Humid|9.9|1029.8|99
MRZ|-30.29,151.25|2016-12-19T00:00:00.000+11:00|Windy|26.5|1016.6|49
HBA|-42.87,147.47|2016-03-04T00:00:00.000+11:00|Partial Cloudy|18.7|1019.4|64
CAZ|-25.91,144.7|2016-02-05T00:00:00.000+11:00|Windy|26.0|1011.8|44
CBR|-36.36,150.08|2016-09-18T00:00:00.000+10:00|Clear Sky|8.7|1012.1|81
BNE|-27.71,153.27|2016-04-22T00:00:00.000+10:00|Rainy|24.5|1019.9|69
SYD|-33.91,151.19|2016-01-24T00:00:00.000+11:00|Cloudy|22.9|1013.4|73
WGA|-34.11,147.14|2016-06-17T00:00:00.000+10:00|Rainy|10.8|1015.7|93
MLB|-37.83,144.85|2016-11-10T00:00:00.000+11:00|Partial Cloudy|14.7|1012.2|67
YBLT|-38.24,143.48|2016-12-06T00:00:00.000+11:00|Humid|14.7|1013.5|91
UMR|-32.6,138.33|2016-01-23T00:00:00.000+11:00|Windy|26.3|1014.6|67
TSV|-21.1,149.19|2016-08-05T00:00:00.000+10:00|Clear Sky|18.5|1019.7|41
CBR|-36.0,148.66|2016-02-10T00:00:00.000+11:00|Humid|16.9|1001|95
HBA|-42.2,147.4|2016-08-23T00:00:00.000+10:00|Partial Cloudy|8.4|1014.2|59
YPEA|-20.66,117.09|2016-09-20T00:00:00.000+10:00|Sunny|12.1|1022|65
CBR|-35.65,149.81|2016-12-13T00:00:00.000+11:00|Clear Sky|22.2|1015.1|53
BNE|-26.16,152.67|2016-09-11T00:00:00.000+10:00|Rainy|18.5|1019.4|58
CBR|-35.26,149.08|2016-09-24T00:00:00.000+10:00|Clear Sky|11.0|1013.4|75
SYD|-33.62,151.05|2016-01-31T00:00:00.000+11:00|Rainy|25.4|1004.4|83
TSV|-19.15,146.86|2016-12-07T00:00:00.000+11:00|Clear Sky|28.7|1012.6|57
ABX|-36.89,146.26|2016-08-15T00:00:00.000+10:00|Humid|9.5|1033|100
NTL|-31.73,150.79|2016-03-26T00:00:00.000+11:00|Clear Sky|20.4|1018.6|81
CFS|-30.59,151.56|2016-02-02T00:00:00.000+11:00|Clear Sky|23.7|1004.9|68
BXG|-36.97,144.72|2016-12-07T00:00:00.000+11:00|Clear Sky|19.1|1014.8|52
YKHG|-15.81,134.15|2016-06-28T00:00:00.000+10:00|Clear Sky|25.3|1017.3|45
BNE|-26.78,153.11|2016-02-15T00:00:00.000+11:00|Sunny|27.6|1010.1|60
YPEA|-29.54,115.07|2016-09-21T00:00:00.000+10:00|Sunny|14.1|1019.3|81
RCM|-38.35,144.95|2016-09-25T00:00:00.000+10:00|Clear Sky|17.7|1006.8|84
BNE|-27.45,152.99|2016-04-23T00:00:00.000+10:00|Partial Cloudy|24.6|1018|66
BNE|-27.42,152.46|2016-04-20T00:00:00.000+10:00|Partial Cloudy|23.7|1022|64
PER|-32.13,115.86|2016-11-28T00:00:00.000+11:00|Sunny|22.4|1015.4|45
CNS|-13.61,141.83|2016-09-05T00:00:00.000+10:00|Humid|22.8|1020.3|93
BXG|-36.89,145.23|2016-06-01T00:00:00.000+10:00|Clear Sky|10.0|1028.4|68
MGB|-36.9,140.23|2016-03-11T00:00:00.000+11:00|Humid|21.4|1017.6|96
NTL|-33.46,151.43|2016-04-20T00:00:00.000+10:00|Humid|21.3|1024.1|90
WOL|-34.35,150.63|2016-10-11T00:00:00.000+11:00|Windy|15.8|1013.4|32
WOL|-34.51,150.73|2016-12-02T00:00:00.000+11:00|Clear Sky|22.0|1007.8|79
TSV|-19.58,147.41|2016-09-02T00:00:00.000+10:00|Clear Sky|24.3|1014.1|67
