RCM|-37.8,145.0|2016-07-17T00:00:00.000+10:00|Humid|12.8|1031.5|99
CFS|-30.24,152.01|2016-02-08T00:00:00.000+11:00|Clear Sky|23.4|1016.9|65
CBR|-35.29,149.11|2016-08-19T00:00:00.000+10:00|Windy|9.2|1018.7|79
OOL|-28.03,153.28|2016-07-10T00:00:00.000+10:00|Clear Sky|16.5|1023.6|70
YBLT|-38.7,143.57|2016-01-11T00:00:00.000+11:00|Windy|24.6|1011.2|28
DRW|-12.38,130.87|2016-02-22T00:00:00.000+11:00|Sunny|30.4|1013.6|73
ABX|-36.08,146.91|2016-10-10T00:00:00.000+11:00|Rainy|12.2|1012.2|89
SYD|-33.99,151.02|2016-03-26T00:00:00.000+11:00|Sunny|21.9|1018.6|74
BNE|-27.61,153.03|2016-04-18T00:00:00.000+10:00|Sunny|23.0|1018.7|59
YPEA|-31.61,115.68|2016-02-22T00:00:00.000+11:00|Windy|22.0|1016.9|78
PER|-33.34,116.1|2016-03-10T00:00:00.000+11:00|Clear Sky|18.9|1012.9|79
ADL|-34.9,138.56|2016-10-11T00:00:00.000+11:00|Clear Sky|13.8|1023.4|62
BNE|-23.39,150.5|2016-07-30T00:00:00.000+10:00|Sunny|15.9|1021.4|56
HBA|-43.32,147.24|2016-04-18T00:00:00.000+10:00|Partial Cloudy|14.0|1023.1|65
CNS|-17.12,145.83|2016-09-16T00:00:00.000+10:00|Clear Sky|26.0|1018.9|85
ADL|-34.6,138.91|2016-10-19T00:00:00.000+11:00|Sunny|9.4|1022.1|75
YXNE|-33.16,148.92|2016-01-15T00:00:00.000+11:00|Rainy|17.8|1001|55
ALH|-34.24,118.22|2016-12-01T00:00:00.000+11:00|Rainy|16.3|1017|61
UMR|-30.78,136.62|2016-01-24T00:00:00.000+11:00|Sunny|25.4|1014.5|61
RCM|-38.52,145.45|2016-08-29T00:00:00.000+10:00|Humid|10.6|1027.6|89
ADL|-34.67,138.67|2016-12-03T00:00:00.000+11:00|Clear Sky|21.8|1014.4|38
ADL|-34.64,138.65|2016-03-10T00:00:00.000+11:00|Rainy|25.0|1018.4|93
YKHG|-13.98,136.46|2016-12-30T00:00:00.000+11:00|Rainy|26.4|1002|96
SYD|-33.88,151.17|2016-03-12T00:00:00.000+11:00|Sunny|25.3|1019.6|73
BNE|-27.55,152.87|2016-01-07T00:00:00.000+11:00|Sunny|25.8|1010.4|52
ADL|-35.8,138.07|2016-07-01T00:00:00.000+10:00|Rainy|10.1|1026.1|90
ADL|-34.86,139.2|2016-06-25T00:00:00.000+10:00|Humid|6.2|1025.3|94
BNE|-25.22,152.23|2016-09-14T00:00:00.000+10:00|Partial Cloudy|22.1|1019.5|60
PER|-32.02,115.83|2016-11-26T00:00:00.000+11:00|Sunny|28.5|1013.8|23
OOL|-28.61,151.96|2016-06-03T00:00:00.000+10:00|Rainy|18.5|1022.8|81
TSV|-22.97,145.25|2016-02-07T00:00:00.000+11:00|Partial Cloudy|30.8|1006.7|77
BXG|-36.59,145.38|2016-03-15T00:00:00.000+11:00|Clear Sky|22.5|1017.9|67
BNE|-25.03,148.81|2016-09-12T00:00:00.000+10:00|Sunny|19.5|1021.3|68
DRW|-12.51,130.97|2016-09-09T00:00:00.000+10:00|Partial Cloudy|27.8|1014.4|64
TSV|-23.99,148.34|2016-01-10T00:00:00.000+11:00|Rainy|26.5|1016.6|91
YPEA|-32.03,118.1|2016-09-22T00:00:00.000+10:00|Cloudy|12.2|1011.6|80
UMR|-30.13,139.64|2016-07-16T00:00:00.000+10:00|Clear Sky|9.0|1031.5|60
SYD|-33.94,151.14|2016-09-19T00:00:00.000+10:00|Rainy|17.4|1008.7|54
CFS|-29.41,153.18|2016-10-22T00:00:00.000+11:00|Windy|21.0|1013|72
PER|-32.23,116.14|2016-05-14T00:00:00.000+10:00|Rainy|18.2|1018.9|95
SYD|-33.89,151.13|2016-03-31T00:00:00.000+11:00|Rainy|21.0|1017.1|51
ADL|-34.03,138.68|2016-12-06T00:00:00.000+11:00|Partial Cloudy|17.0|1015.4|63
HBA|-42.78,147.25|2016-09-21T00:00:00.000+10:00|Cloudy|11.9|1013.9|73
BNE|-24.74,152.16|2016-02-13T00:00:00.000+11:00|Cloudy|24.7|1011.5|54
